total,total_MRR,total_acc,total_mean_len,entail_total,entail_acc,entail_mean_len,entail_MRR,entail_correct,entail_correct_mean_len,entail_MRR_c,entail_incorrect,entail_incorrect_mean_len,entail_MRR_inc,neutral_total,neutral_acc,neutral_mean_len,neutral_MRR,neutral_correct,neutral_correct_mean_len,neutral_MRR_c,neutral_incorrect,neutral_incorrect_mean_len,neutral_MRR_inc,contradict_total,contradict_acc,contradict_mean_len,contradict_MRR,contradict_correct,contradict_correct_mean_len,contradict_MRR_c,contradict_incorrect,contradict_incorrect_mean_len,contradict_MRR_inc
600,0.0248,0.56,245.8,300,0.62,262.5,0.0282,185,253.2,0.0302,115,277.53,0.0249,210,0.62,209,0.0217,130,211.1,0.0213,80,205.65,0.0223,90,0.21,275.6,0.0213,19,230.4,0.0249,71,287.69,0.0203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,total_MRR,total_acc,total_mean_len,entail_total,entail_acc,entail_mean_len,entail_MRR,entail_correct,entail_correct_mean_len,entail_MRR_c,entail_incorrect,entail_incorrect_mean_len,entail_MRR_inc,neutral_total,neutral_acc,neutral_mean_len,neutral_MRR,neutral_correct,neutral_correct_mean_len,neutral_MRR_c,neutral_incorrect,neutral_incorrect_mean_len,neutral_MRR_inc,contradict_total,contradict_acc,contradict_mean_len,contradict_MRR,contradict_correct,contradict_correct_mean_len,contradict_MRR_c,contradict_incorrect,contradict_incorrect_mean_len,contradict_MRR_inc
600,0.0225,0.52,245.8,300,0.44,262.5,0.0256,133,229.1,0.0295,167,289.12,0.0224,210,0.73,209,0.0198,154,212,0.0197,56,200.98,0.0202,90,0.29,275.6,0.0185,26,311.7,0.0194,64,260.92,0.0181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,total_MRR,total_acc,total_mean_len,entail_total,entail_acc,entail_mean_len,entail_MRR,entail_correct,entail_correct_mean_len,entail_MRR_c,entail_incorrect,entail_incorrect_mean_len,entail_MRR_inc,neutral_total,neutral_acc,neutral_mean_len,neutral_MRR,neutral_correct,neutral_correct_mean_len,neutral_MRR_c,neutral_incorrect,neutral_incorrect_mean_len,neutral_MRR_inc,contradict_total,contradict_acc,contradict_mean_len,contradict_MRR,contradict_correct,contradict_correct_mean_len,contradict_MRR_c,contradict_incorrect,contradict_incorrect_mean_len,contradict_MRR_inc
600,0.0222,0.46,245.8,300,0.8,262.5,0.0248,240,269.4,0.0245,60,235.18,0.0259,210,0.15,209,0.0201,31,196.4,0.0203,179,211.22,0.02,90,0.07,275.6,0.0189,6,296.3,0.017,84,274.12,0.0191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,total_MRR,total_acc,total_mean_len,entail_total,entail_acc,entail_mean_len,entail_MRR,entail_correct,entail_correct_mean_len,entail_MRR_c,entail_incorrect,entail_incorrect_mean_len,entail_MRR_inc,neutral_total,neutral_acc,neutral_mean_len,neutral_MRR,neutral_correct,neutral_correct_mean_len,neutral_MRR_c,neutral_incorrect,neutral_incorrect_mean_len,neutral_MRR_inc,contradict_total,contradict_acc,contradict_mean_len,contradict_MRR,contradict_correct,contradict_correct_mean_len,contradict_MRR_c,contradict_incorrect,contradict_incorrect_mean_len,contradict_MRR_inc
